@relation noProbing_imputation

@attribute dataset_id numeric
@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute Dimensionality numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.REPTree numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric

@data
470,0.545455,1566208,55936,1748,0.014881,0.666667,448,28,46,0.562997,90,28,0.847413,9.965482,12.6,27.2,-0.363471,28.800744,12.6,0.339164,5.649865,1,3,-1.502239,5.310268,1,-0.016118,0.817105,0.333333,224,1,2,10,672,666,1200,5,5,0.1,0.991071,0.178571,0.5,0.5,-1.365406,7.096354,-0.008059,2.065635,-0.120152,16.857143,0.415606,4.879733,0.516805,56.476935,0.648165,9.61916,14.099645,17.19593,14.099645,64.623116,65.226131,0,72.763819,69.849246,73.065327,71.859296,72.060302,67.135678,47.336683,62.81407,65.829146,66.030151,63.015075,61.507538,66.834171,66.834171,67.437186,72.060302,66.331658,61.909548,55.778894
472,0.476744,109350,54675,2025,0.045977,0.597701,52,2,75,9.120861,142.344828,2,3.043802,73.356065,2,43,2.602874,51.414368,2,1.232789,32.02881,2,27,-0.94675,1.417816,2,-0.135001,1.329649,0.402299,35,1,2,4,87,0,0,3,1,0.25,0,0,0.75,0.25,-0.94675,1.417816,-0.135001,1.329649,-0.365487,10.48046,0.789565,21.400716,9.120861,142.344828,3.043802,73.356065,0,27.712813,0,72.173913,69.565217,59.130435,74.782609,73.913043,73.043478,73.043478,73.913043,62.608696,70.434783,73.043478,72.173913,73.043478,72.173913,73.913043,60.869565,72.173913,73.913043,73.043478,66.956522,66.956522,65.217391
474,0.418733,625,125,25,0.090659,0.557692,203,5,?,?,?,5,?,?,4.939394,?,?,?,4.939394,?,?,3,?,?,?,3,?,?,0.005495,2,0,6,33,364,53,101,0,33,0,0.145604,0.008408,0,1,?,?,?,?,?,?,?,?,?,?,?,?,0.348155,?,0.348155,52.269462,52.269462,0,39.087556,52.659678,0,49.308872,56.585129,0,48.522617,49.710736,56.389051,53.830324,59.330227,50.875558,57.957678,56.585129,54.224422,56.585129,56.98311,56.189089,49.512716
475,0.902256,7300,1825,365,0.015,0.25,100,5,73,11.936417,15.0975,5,3.221822,30.025686,3.6,73,11.936417,15.0975,3.6,3.221822,30.025686,2,73,11.936417,15.0975,2,3.221822,30.025686,0.25,100,2,4,6,400,0,0,1,5,0.333333,0,0,0.166667,0.833333,11.936417,15.0975,3.221822,30.025686,11.936417,15.0975,3.221822,30.025686,11.936417,15.0975,3.221822,30.025686,1.516575,0,1.516575,30.517241,35.344828,0,36.206897,23.448276,0,21.206897,34.655172,0,0.517241,19.482759,38.965517,36.034483,35.689655,36.551724,25,39.310345,38.965517,43.62069,33.62069,20.344828,25.344828
476,0.979592,5762400,120050,2450,0.14,0.5,25,50,49,25.879747,39.794,50,4.653761,90.073681,26,48.4,8.450046,-2.588352,26,0.069943,37.448425,2,48,1.524249,-52.936,2,-2.304994,5.425038,0.5,25,1,2,7,50,0,0,5,2,0.142857,0,0,0.714286,0.285714,2.526353,-30.279,-2.028942,16.018246,4.482459,3.00424,-1.468071,30.862939,16.357532,22.306,2.937834,62.171347,33.941125,0.547723,33.941125,83.333333,78.333333,0,86.666667,85,81.666667,81.666667,85,76.666667,91.666667,86.666667,86.666667,81.666667,50,78.333333,50,85,81.666667,85,50,85,71.666667
477,0.439394,19850358,300763,4489,0.253731,0.61194,41,67,67,61.163225,43453.985075,67,7.678288,75070.435056,24.666667,42.857143,19.534259,6541.183369,24.666667,3.852973,10102.946291,2,3,2.266927,0.089552,2,1.712336,0.416746,0.014925,1,1,5,17,67,0,0,14,3,0.058824,0,0,0.823529,0.176471,5.122844,9.048507,2.202326,26.925523,13.120706,139.455224,3.350031,190.635843,35.868344,1515.291045,5.531256,2582.394211,36.692415,23.543273,36.692415,46.666667,54.666667,0,80,82.666667,0,81.333333,88,0,73.333333,49.333333,65.333333,81.333333,6.666667,77.333333,73.333333,82.666667,77.333333,88,73.333333,82.666667,73.333333
479,0.582418,31394916,498332,6557,0.119565,0.793478,73,59,83,0.940333,160.375761,59,0.67832,87.659122,14.8,56.166667,-0.904643,57.84371,14.8,-0.090918,33.431416,2,17,-1.885215,0.626283,2,-1.044126,0.19519,0.206522,19,3,2,11,92,0,0,6,5,0.272727,0,0,0.545455,0.454545,-1.862628,2.402821,-0.437083,0.627295,-1.109907,16.179348,-0.111331,15.34974,-0.070966,153.123832,0.377852,82.862311,24.893774,30.32106,24.893774,86.666667,75,0,73.333333,88.333333,89.166667,89.166667,88.333333,83.333333,83.333333,89.166667,85.833333,80.833333,85,81.666667,83.333333,85.833333,81.666667,88.333333,85,89.166667,79.166667
480,0.95,77520,5168,323,0.311475,0.639344,39,10,19,1.963762,20.311475,10,1.568683,8.115761,7.111111,14.3,0.086772,13.240984,7.111111,0.63854,4.248441,4,12,-1.160867,4.934426,4,-0.299767,2.46561,0.04918,3,0,4,19,61,0,0,10,9,0,0,0,0.526316,0.473684,-0.798092,9.827869,0.109794,3.574672,-0.356266,13.07377,0.477246,4.023054,1.304955,17.32377,1.217158,4.455437,2.315407,2.359378,2.315407,94.285714,91.428571,0,87.142857,94.285714,0,97.142857,92.857143,0,94.285714,97.142857,91.428571,91.428571,91.428571,95.714286,71.428571,85.714286,95.714286,92.857143,78.571429,95.714286,88.571429
481,0.995192,397757500,3342500,26740,0.043062,0.641148,134,7,191,24.097345,65772.421053,7,4.392481,29164.753824,4.5,104.714286,7.392455,9607.61853,4.5,1.592351,4234.914878,2,26,-1.03106,16.772249,2,-0.371568,8.572594,0.358852,75,1,2,9,209,15,15,7,2,0.111111,0.07177,0.007974,0.777778,0.222222,-0.819173,32.157895,-0.116559,12.462896,2.084536,92.264593,1.331877,73.91776,22.293552,1054.851675,4.145134,218.020866,3.535534,58.704668,3.535534,90.666667,89,0,91,88,84.333333,87.666667,89,65,85,84.333333,86,89.666667,85,85,65,83.666667,87.333333,88,88,90.666667,87.666667
488,0.508621,317475180000,654588000,1322400,0.014643,0.531438,617,1140,1160,50.909625,3052.047373,1140,5.815259,2411.623526,398.666667,388.428571,7.3541,529.798248,398.666667,1.703419,273.711854,4,83,-0.02991,12.735573,4,0.343584,19.514094,0.000861,1,0,4,17,1161,87,256,14,3,0,0.074935,0.012971,0.823529,0.176471,0.222665,89.418605,0.433719,72.487925,0.727339,418.382963,0.741392,94.685255,9.344527,524.781759,2.716425,144.880039,642.461931,248.054186,642.461931,74.418605,76.686047,0,70.232558,34.011628,0,81.22093,82.674419,0,69.534884,76.918605,78.197674,80.930233,17.093023,79.651163,53.488372,71.860465,79.127907,82.732558,53.488372,81.27907,63.430233
554,0.095644,4294967296,16777216,65536,0.011214,0.112529,7877,10,256,70000,140.015057,10,264.575131,113.886297,10,179.33801,4894.714443,33.385965,10,31.079436,49.255704,10,1,-1.825429,0,10,-0.235497,0,0.090186,6313,0,10,785,70000,0,0,784,1,0,0,0,0.998726,0.001274,-1.029732,0.120582,0.874412,4.670546,16.226837,7.19605,4.134907,36.765819,623.082764,69.334618,23.939583,100.848508,0,105.154423,0,83.8599,69.653562,82.709554,0,0,0,93.563021,92.230641,0,97.062664,0,52.298308,89.611627,24.721468,90.50274,11.255659,20.417441,88.234453,0,87.062187,96.544198,79.952347
679,0.968719,0,4004,1001,0.00293,0.394531,404,4,77,-0.123562,134.129883,4,0.725942,15.13884,4,45,-0.57205,85.629175,4,0.425902,7.64228,4,13,-1.020538,37.128467,4,0.125861,0.14572,0.091797,94,0,4,3,1024,0,0,2,1,0,0,0,0.666667,0.333333,-1.020538,37.128467,0.125861,0.14572,-0.57205,85.629175,0.425902,7.64228,-0.123562,134.129883,0.725942,15.13884,0,45.254834,0,47.483444,45.165563,41.589404,45.364238,50.397351,0,45.89404,45.364238,0,47.615894,50.463576,49.337748,48.211921,41.788079,49.403974,39.735099,46.490066,50.397351,50.662252,49.072848,47.218543,46.622517
682,0.965116,10875648,213248,3808,0.126437,0.586207,51,2,68,1.053982,247.471264,2,0.577875,4.427291,2,41.888889,0.299389,52.152568,2,-0.28177,1.092561,2,15,-0.466113,0.603241,2,-0.782955,0.014386,0.413793,36,2,2,11,87,0,0,9,2,0.181818,0,0,0.818182,0.181818,-0.234403,0.724489,-0.720985,0.023504,0.332828,1.131954,-0.402432,0.04089,0.858399,96.032184,0.006417,2.313669,0,18.360586,0,60.869565,66.956522,0,66.956522,69.565217,66.956522,72.173913,66.956522,60.869565,72.173913,74.782609,74.782609,69.565217,69.565217,64.347826,60.869565,74.782609,66.086957,66.086957,66.086957,75.652174,66.086957
683,0.983051,10926387,191691,3363,0.133333,0.5,30,2,59,1.813502,70.7,2,-0.396098,18.08764,2,53.714286,0.522933,65.875,2,-0.684542,15.791525,2,36,-0.259944,54.926667,2,-0.989213,13.43181,0.5,30,1,2,8,60,0,0,7,1,0.125,0,0,0.875,0.125,0.038966,65.353333,-0.971895,13.739591,0.218749,66.39,-0.697947,16.249492,1.086065,69.215,-0.45828,16.796897,0,7.952238,0,57.5,71.25,62.5,62.5,63.75,66.25,70,67.5,50,47.5,43.75,58.75,56.25,55,53.75,50,57.5,53.75,67.5,63.75,62.5,48.75
685,0.968992,?,16770,3354,0.023077,0.2,26,26,129,37.689612,18212792.307692,26,5.499005,45105899.030611,15.5,129,37.689612,18212792.307692,15.5,5.499005,45105899.030611,5,129,37.689612,18212792.307692,5,5.499005,45105899.030611,0.2,26,0,5,3,130,0,0,1,2,0,0,0,0.333333,0.666667,37.689612,18212792.307692,5.499005,45105899.030611,37.689612,18212792.307692,5.499005,45105899.030611,37.689612,18212792.307692,5.499005,45105899.030611,14.849242,0,14.849242,17.333333,30.666667,0,10,8,0,0.666667,39.333333,0,0,28.666667,44,40.666667,43.333333,25.333333,20,36,45.333333,39.333333,20,0,11.333333
694,0.97411,2874010000,19685000,78740,0.029032,0.132258,41,9,310,0.608557,496.103226,9,0.792714,124.330267,9,175.375,-0.776847,144.801412,9,0.115682,40.984188,9,47,-1.416428,0.231207,9,-0.331356,0.089691,0.058065,18,0,9,9,310,0,0,8,1,0,0,0,0.888889,0.111111,-1.254116,2.434804,-0.148267,0.131896,-1.168827,16.380863,-0.014583,7.795998,-0.117711,349.118548,0.470199,107.293996,0,87.141818,0,89.135802,87.901235,79.753086,98.518519,99.506173,0,75.308642,100,0,100,98.518519,100,91.111111,99.753086,93.580247,13.580247,27.160494,93.82716,100,99.506173,98.765432,96.296296
713,0.764706,23296,11648,832,0.076923,0.538462,28,2,52,0.578589,26.5,2,0.269673,15.154757,2,27.333333,-0.45577,13.144231,2,-0.13037,6.477174,2,14,-1.2,3.278846,2,-0.660783,1.938803,0.461538,24,1,2,4,52,0,0,3,1,0.25,0,0,0.75,0.25,-1.2,3.278846,-0.660783,1.938803,-0.7459,9.653846,0,2.337961,0.578589,26.5,0.269673,15.154757,0,21.385353,0,75.384615,76.923077,81.538462,78.461538,81.538462,83.076923,80,75.384615,76.923077,73.846154,76.923077,81.538462,83.076923,80,75.384615,53.846154,78.461538,75.384615,75.384615,78.461538,84.615385,84.615385
714,0.467742,5796,1932,644,0.04,0.608,76,3,46,-0.401022,57.44,3,-0.011619,17.563893,2.666667,30,-0.405713,29.13048,2.666667,-0.324838,8.820673,2,14,-0.410405,0.82096,2,-0.638057,0.077454,0.392,49,1,2,5,125,0,0,2,3,0.2,0,0,0.4,0.6,-0.410405,0.82096,-0.638057,0.077454,-0.405713,29.13048,-0.324838,8.820673,-0.401022,57.44,-0.011619,17.563893,0.57735,22.627417,0.57735,55.294118,56.470588,0,60,50.588235,57.647059,61.764706,57.058824,61.764706,48.235294,52.352941,59.411765,57.058824,52.352941,61.764706,61.764706,60,56.470588,57.058824,60.588235,50,50.588235
715,0.535536,1000000000000,1000000000,1000000,0.026,0.557,557,2,1000,1.956425,0,2,1.376455,1,2,999.84,-0.989595,0,2,0.064524,1,2,999,-1.28352,0,2,-0.099647,1,0.443,443,1,2,26,1000,0,0,25,1,0.038462,0,0,0.961538,0.038462,-1.20572,0,-0.055845,1,-1.171438,0,-0.021715,1,-1.153128,0,0.02225,1,0,0.374166,0,83.838384,66.195286,0,67.542088,73.804714,65.252525,66.329966,66.599327,64.983165,56.094276,65.723906,85.050505,87.542088,74.276094,83.030303,55.892256,70.841751,85.993266,86.734007,85.858586,89.158249,77.104377
716,0.575758,100000000,1000000,10000,0.51,0.62,62,2,100,1.112825,0,2,1.307691,1,2,100,-1.07177,0,2,0.015522,1,2,100,-1.386229,0,2,-0.357161,1,0.38,38,1,2,51,100,0,0,50,1,0.019608,0,0,0.980392,0.019608,-1.23264,0,-0.131697,1,-1.126082,0,-0.016849,1,-1.062881,0,0.126166,1,0,0,0,75.555556,62.962963,0,55.555556,50.37037,54.814815,56.296296,63.703704,53.333333,57.777778,51.111111,77.037037,80.740741,80,68.888889,62.962963,76.296296,75.555556,80.740741,66.666667,71.851852,71.851852
717,0.747535,52861372788,110588646,231357,0.021654,0.562992,286,2,483,12.723956,169.048169,2,2.748805,14.182873,2,430.9,1.723464,48.001835,2,0.816573,7.477724,2,282,-0.441546,2.844429,2,-0.569563,1.05062,0.437008,222,1,2,11,508,0,0,10,1,0.090909,0,0,0.909091,0.090909,-0.094634,8.228159,0.443892,3.53811,0.551007,30.852697,0.799252,6.729475,1.317157,77.87003,1.075104,12.266445,0,65.17745,0,85.503356,82.550336,81.208054,87.651007,87.651007,87.248322,85.503356,86.577181,79.328859,84.026846,83.087248,87.651007,86.845638,85.90604,85.90604,56.375839,87.38255,85.637584,86.979866,86.979866,87.651007,82.95302
718,0.501502,1000000000000,1000000000,1000000,0.101,0.564,564,2,1000,1.541408,0,2,1.349992,1,2,999.79,-1.143504,0,2,0.03152,1,2,998,-1.278349,-0,2,-0.110809,1,0.436,436,1,2,101,1000,0,0,100,1,0.009901,0,0,0.990099,0.009901,-1.225419,-0,-0.027097,1,-1.196612,0,0.00437,1,-1.170094,0,0.033994,1,0,0.456048,0,84.242424,61.616162,0,63.097643,59.259259,59.259259,60.673401,61.144781,59.59596,51.447811,59.057239,85.252525,84.915825,79.191919,79.59596,56.565657,69.76431,84.175084,84.444444,82.693603,80.538721,62.491582
719,0.632353,53760,13440,1120,0.058394,0.686131,94,4,40,24.309851,58.569343,4,4.151116,20.039592,2.4,26.666667,7.699443,41.883212,2.4,1.054154,13.73112,2,12,-0.78238,8.773723,2,-0.64327,10.541628,0.313869,43,4,2,8,137,0,0,3,5,0.5,0,0,0.375,0.625,-0.78238,8.773723,-0.64327,10.541628,-0.429144,58.306569,-0.345385,10.612141,24.309851,58.569343,4.151116,20.039592,0.894427,14.047538,0.894427,71.578947,64.736842,0,73.157895,68.947368,71.052632,71.052632,70,70.526316,58.947368,68.947368,70,65.263158,57.894737,63.684211,71.052632,69.473684,68.421053,66.315789,73.157895,70,66.842105
720,0.719828,2998705432800,3407619810,3679935,0.002155,0.501796,2096,3,2429,76.025509,0.828742,3,3.128817,0.490389,2.5,863.714286,11.033153,0.382703,2.5,0.620369,0.174618,2,51,-0.045476,0.139516,2,-0.639873,0.041827,0.498204,2081,1,2,9,4177,0,0,7,2,0.111111,0,0,0.777778,0.222222,-0.023644,0.180594,-0.609198,0.09924,0.084012,0.359367,0.591852,0.120093,0.595124,0.523992,0.719098,0.221963,0.707107,879.204511,0.707107,73.408,72.96,0,78.512,79.552,78.592,76.976,78.352,75.968,72.256,78.368,76.4,77.84,75.84,77.136,50.16,74.896,76.944,79.296,77.616,78.32,72.8
721,0.482412,81,27,9,0.055,0.515,103,2,3,-1.336958,0.105,2,0.221621,1.00005,2,2.9,-1.552829,-0.011,2,0.020567,0.839202,2,2,-2.000107,-0.115,2,-0.196118,0.777817,0.485,97,1,2,11,200,0,0,10,1,0.090909,0,0,0.909091,0.090909,-1.577168,-0.075,-0.107339,0.81177,-1.532543,-0.02,0.037107,0.826804,-1.463677,0.05875,0.139778,0.842479,0,0.316228,0,81.403509,69.473684,0,84.561404,87.017544,83.508772,83.859649,84.210526,82.45614,85.263158,76.140351,80.701754,81.754386,81.403509,82.45614,50.877193,81.403509,82.105263,85.614035,81.052632,88.421053,80.350877
722,0.556637,328616640,2738472,22632,0.003267,0.663933,9959,2,184,147.261947,110,2,11.618472,35.252824,2,48.3125,34.887434,19.432526,2,4.780045,6.520232,2,1,-0.072067,0,2,0.308753,0,0.336067,5041,1,2,49,15000,0,0,48,1,0.020408,0,0,0.979592,0.020408,3.346056,0,1.86212,0,16.985813,0.9317,3.918949,3.133465,69.841247,12.012283,7.79862,11.511865,0,50.413252,0,92.808539,65.772737,70.962864,89.268401,98.527907,90.486991,90.509228,88.934845,90.295753,96.531021,92.37714,93.844785,96.92684,76.797865,97.376028,66.399822,66.399822,97.500556,97.985324,97.344897,98.456749,95.877252
723,0.503504,1000000000000,1000000000,1000000,0.026,0.547,547,2,1000,1.50922,0,2,1.356293,1,2,1000,-0.970848,0,2,0.101459,1,2,1000,-1.26482,0,2,-0.093515,1,0.453,453,1,2,26,1000,0,0,25,1,0.038462,0,0,0.961538,0.038462,-1.198472,0,-0.039367,1,-1.178689,0,0.015434,1,-1.122575,0,0.028711,1,0,0,0,84.377104,62.356902,0,63.636364,77.912458,61.616162,63.569024,62.962963,60.740741,58.989899,66.060606,86.531987,85.521886,73.737374,84.242424,54.882155,67.340067,83.973064,86.329966,84.983165,88.080808,75.084175
724,0.850107,12168,6084,676,0.008547,0.555556,260,9,52,-1.200886,26.5,9,0,15.024391,5.5,32.5,-1.207657,16.75,5.5,0,9.385026,2,13,-1.214428,7,2,0,3.745661,0.444444,208,1,2,4,468,0,0,2,2,0.25,0,0,0.5,0.5,-1.214428,7,0,3.745661,-1.207657,16.75,0,9.385026,-1.200886,26.5,0,15.024391,4.949747,27.577164,4.949747,77.971014,82.173913,0,75.942029,86.521739,76.666667,76.666667,75.217391,55.942029,87.681159,86.376812,77.246377,87.681159,76.666667,86.956522,55.797101,63.478261,86.231884,86.956522,85.942029,88.405797,85.942029
725,0.511537,4472333285241648,547677355528,67026968,0.001099,0.596313,4885,2,8188,6.869537,6.508057,2,2.11832,3.102711,2,7146.75,0.696958,1.654425,2,0.469408,1.08274,2,4,-1.378784,-0.008189,2,-0.375708,0.201263,0.403687,3307,1,2,9,8192,0,0,8,1,0.111111,0,0,0.888889,0.111111,-1.22947,-0.003643,-0.01271,0.286596,-1.192689,0.301683,0.008834,0.291287,4.024148,3.074162,1.499765,2.586798,0,2886.149127,0,91.470468,90.501018,0,94.484725,93.898167,94.476578,94.256619,94.199593,92.480652,74.443992,82.0611,92.105906,93.303462,78.248473,91.771894,59.633401,79.771894,92.627291,94.281059,92.651731,94.207739,91.560081
726,0.565657,100000000,1000000,10000,0.06,0.6,60,2,100,0.94833,0,2,1.020333,1,2,100,-0.616989,0,2,0.249268,1,2,100,-1.08166,0,2,0.03941,1,0.4,40,1,2,6,100,0,0,5,1,0.166667,0,0,0.833333,0.166667,-1.067639,0,0.040538,1,-1.013274,0,0.049571,1,0.031804,0,0.557846,1,0,0,0,77.142857,77.857143,0,65.714286,81.428571,73.571429,74.285714,73.571429,67.142857,70.714286,77.857143,76.428571,77.142857,73.571429,76.428571,60.714286,77.142857,76.428571,77.142857,77.142857,81.428571,76.428571
727,0.496137,81,27,9,0.00027,0.500883,20420,2,3,-1.492703,0.008095,2,0.010295,0.99998,2,2.9,-1.550309,0.002006,2,-0.003821,0.834942,2,2,-1.999836,-0.005617,2,-0.01619,0.814537,0.499117,20348,1,2,11,40768,0,0,10,1,0.090909,0,0,0.909091,0.090909,-1.504742,-0.000202,-0.009931,0.815597,-1.501153,0.002048,-0.003761,0.816823,-1.496638,0.005409,0.000372,0.817795,0,0.316228,0,83.904154,65.444881,0,83.817468,93.099444,83.660451,83.729146,83.927053,83.873078,91.449133,92.608767,93.061825,93.022571,80.296042,92.968597,50.089957,80.296042,93.1158,93.150147,93.097808,92.087013,90.71966
728,0.985929,1440,720,360,0.001974,0.760365,3081,2,36,77.672842,1972.34847,2,7.968839,9.851025,2,8,17.041562,281.948773,2,2.747987,1.757793,2,2,-1.994734,0.022952,2,-0.170636,0.149768,0.239635,971,1,2,8,4052,0,0,7,1,0.125,0,0,0.875,0.125,-1.52873,0.078233,-0.079064,0.268571,-0.274329,0.225568,1.313699,0.472954,38.64253,0.519743,6.373653,0.644557,0,12.701706,0,99.274526,97.526793,75.482275,98.845837,99.175598,98.911789,98.895301,99.225062,76.092333,98.64798,99.175598,99.274526,99.027205,99.274526,99.093157,76.092333,99.274526,99.142622,99.142622,99.225062,99.208574,99.109646
729,0.860465,42592,21296,1936,0.090909,0.613636,27,2,44,-0.198678,75,2,0.925433,15.994185,2,33,-0.978614,35.015777,2,0.295536,10.866984,2,11,-1.516084,9.362097,2,-0.038825,4.34995,0.386364,17,1,2,4,44,0,0,3,1,0.25,0,0,0.75,0.25,-1.516084,9.362097,-0.038825,4.34995,-1.22108,20.685233,0,12.256818,-0.198678,75,0.925433,15.994185,0,19.052559,0,69.090909,89.090909,70.909091,89.090909,89.090909,90.909091,87.272727,87.272727,63.636364,92.727273,94.545455,67.272727,78.181818,74.545455,87.272727,63.636364,70.909091,85.454545,87.272727,70.909091,92.727273,90.909091
730,0.518072,3906250000,15625000,62500,0.024,0.524,131,2,250,-0.639917,0,2,0.066326,1,2,250,-1.052861,0,2,-0.080515,1,2,250,-1.246317,0,2,-0.20579,1,0.476,119,1,2,6,250,0,0,5,1,0.166667,0,0,0.833333,0.166667,-1.218063,0,-0.172604,1,-1.178272,0,-0.076187,1,-0.824954,0,0.009411,1,0,0,0,83.055556,69.166667,0,65.555556,85.555556,66.111111,67.5,68.055556,65.555556,82.5,86.388889,80.555556,84.444444,81.944444,87.5,52.777778,74.444444,86.666667,86.944444,84.166667,88.333333,86.666667
731,0.631579,1759680,135360,9024,0.052083,0.510417,49,2,96,3.190359,189.875,2,0.427836,8.62111,2,54.5,0.273687,60.930062,2,-0.136704,4.741661,2,13,-1.260092,0.161289,2,-1.185029,0.059793,0.489583,47,1,2,5,96,0,0,4,1,0.2,0,0,0.8,0.2,-1.064481,6.60706,-0.915174,0.876176,-0.41776,26.841979,0.105188,5.14287,2.303301,149.341146,0.399874,8.205936,0,46.779625,0,74.615385,73.076923,79.230769,72.307692,66.923077,71.538462,73.076923,76.923077,59.230769,62.307692,63.846154,74.615385,72.307692,75.384615,68.461538,50,74.615385,68.461538,73.076923,70,70,66.153846
732,0.481928,3906250000,15625000,62500,0.204,0.532,133,2,250,-0.995372,0,2,0.174448,1,2,250,-1.179796,0,2,0.003365,1,2,250,-1.32635,0,2,-0.284289,1,0.468,117,1,2,51,250,0,0,50,1,0.019608,0,0,0.980392,0.019608,-1.244059,0,-0.055988,1,-1.184277,0,0.013217,1,-1.117093,0,0.074255,1,0,0,0,69.444444,74.722222,0,71.388889,74.166667,75,75.833333,81.944444,65.555556,60.277778,62.222222,68.333333,70.555556,59.722222,76.944444,52.777778,67.777778,71.944444,81.944444,71.666667,75.833333,62.222222
733,0.8125,1069500,46500,1860,0.033493,0.732057,153,2,60,22.468899,11796.15311,2,4.027333,11726.564377,2,29.333333,13.202313,2486.021531,2,3.108127,2656.502062,2,15,5.902471,4.698565,2,2.140663,6.816274,0.267943,56,1,2,7,209,0,0,6,1,0.142857,0,0,0.857143,0.142857,6.772693,14.875598,2.44328,21.202057,13.083233,114.514354,3.170355,150.445824,18.827181,5100.023923,3.703762,5840.698163,0,15.882905,0,95.254237,93.898305,76.949153,93.220339,93.220339,93.898305,91.525424,91.864407,45.084746,92.881356,91.186441,91.525424,93.220339,87.79661,93.559322,74.576271,91.186441,92.881356,93.220339,90.508475,94.915254,93.559322
734,0.785657,11548129138,63451259,328763,0.002982,0.576145,7922,2,1411,6874.5,0.629409,2,2.366188,260.214455,2,89.2,916.86363,-0.850401,2,-4.557908,7.591279,2,3,-0.616275,-12.599564,2,-75.973828,0.000012,0.423855,5828,1,2,41,13750,0,0,40,1,0.02439,0,0,0.97561,0.02439,6.761819,-0.000095,-2.179168,0.000573,6.991264,0.002968,0.121682,0.006918,16.105419,0.021971,2.347704,0.092173,0,221.164192,0,74.376516,71.499272,0,88.010674,87.496361,87.981562,88.321203,88.282387,55.283843,83.260553,79.757399,84.84231,87.355653,78.709364,84.827754,57.617661,75.453663,86.152353,88.418244,86.773411,87.612809,80.203785
